Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
101,Exit long,2026-01-19 10:20,Exit,25304.75,10,5063200,-2262.4,-0.04,12.4,5593.8,0.11,-2256.2,-0.04,197997.6,396.00,5
101,Entry long,2026-01-19 09:55,ORB long,25316,10,5063200,-2262.4,-0.04,12.4,5593.8,0.11,-2256.2,-0.04,197997.6,396.00,5
102,Exit short,2026-01-22 09:50,Exit,25621.75,10,5115000,-9362.4,-0.18,12.4,4143.8,0.08,-10556.2,-0.21,188635.2,377.27,1
102,Entry short,2026-01-22 09:45,ORB short,25575,10,5115000,-9362.4,-0.18,12.4,4143.8,0.08,-10556.2,-0.21,188635.2,377.27,1
103,Exit long,2026-01-23 15:55,session flat,25735.5,10,5132750,14337.6,0.28,12.4,36393.8,0.71,-456.2,-0.01,202972.8,405.95,72
103,Entry long,2026-01-23 09:55,ORB long,25663.75,10,5132750,14337.6,0.28,12.4,36393.8,0.71,-456.2,-0.01,202972.8,405.95,72
104,Exit long,2026-01-26 12:00,Exit,25934.25,10,5161150,25687.6,0.50,12.4,25693.8,0.50,-556.2,-0.01,228660.4,457.32,27
104,Entry long,2026-01-26 09:45,ORB long,25805.75,10,5161150,25687.6,0.50,12.4,25693.8,0.50,-556.2,-0.01,228660.4,457.32,27
105,Exit short,2026-01-28 15:10,Exit,26211.75,10,5239150,-3212.4,-0.06,12.4,18993.8,0.36,-6506.2,-0.12,225448,450.90,56
105,Entry short,2026-01-28 10:30,ORB short,26195.75,10,5239150,-3212.4,-0.06,12.4,18993.8,0.36,-6506.2,-0.12,225448,450.90,56
106,Exit short,2026-01-29 10:00,Exit,25759.75,10,5197250,45287.6,0.87,12.4,45293.8,0.87,-406.2,-0.01,270735.6,541.47,3
106,Entry short,2026-01-29 09:45,ORB short,25986.25,10,5197250,45287.6,0.87,12.4,45293.8,0.87,-406.2,-0.01,270735.6,541.47,3
107,Exit long,2026-02-02 09:55,Exit,25736,10,5149050,-1862.4,-0.04,12.4,10843.8,0.21,-1856.2,-0.04,268873.2,537.75,2
107,Entry long,2026-02-02 09:45,ORB long,25745.25,10,5149050,-1862.4,-0.04,12.4,10843.8,0.21,-1856.2,-0.04,268873.2,537.75,2
